stock_id,stock_name,年月,月增,年增,當月營收
1101,台泥,202508,-9.76,-6.07,12214776
1101,台泥,202507,33.91,-6.19,13535929
1101,台泥,202506,-19.9,-26,10107877
1101,台泥,202505,-0.48,-8.95,12619495
1101,台泥,202504,-6.99,9.07,12681318
1101,台泥,202503,49.45,-0.1,13635386
1101,台泥,202502,-25.29,90.12,9123490
1101,台泥,202501,-26.17,68.74,12213350
1102,亞泥,202508,-2.96,-15.89,5663764
1102,亞泥,202507,-3.03,-13.17,5836590
1102,亞泥,202506,-5.5,-11.97,6019299
1102,亞泥,202505,1.49,-1.38,6370169
1102,亞泥,202504,-3.92,10.36,6276269
1102,亞泥,202503,56.12,1.92,6532662
1102,亞泥,202502,-28.8,16.23,4184371
1102,亞泥,202501,-17.04,-9.44,5877674
1103,嘉泥,202508,-5.94,-11.4,236882
1103,嘉泥,202507,1.64,-2.52,251867
1103,嘉泥,202506,-0.55,-3.33,247791
1103,嘉泥,202505,-8.25,2.19,249182
1103,嘉泥,202504,1.99,14.04,271595
1103,嘉泥,202503,22.05,4.47,266282
1103,嘉泥,202502,-18.59,8.38,218169
1103,嘉泥,202501,-5.69,10.3,268003
1104,環泥,202508,4.86,-7.58,603054
1104,環泥,202507,-8.28,-7.39,575078
1104,環泥,202506,-2.49,-5.31,627049
1104,環泥,202505,-7.95,-13.45,643106
1104,環泥,202504,-0.5,1.74,698668
1104,環泥,202503,30.36,-6.42,702215
1104,環泥,202502,-21.68,12.83,538636
1104,環泥,202501,-8.94,1.03,687804
1108,幸福,202508,-3.71,-9.97,344143
1108,幸福,202507,-1.08,3.6,357412
1108,幸福,202506,-7.01,1.87,361327
1108,幸福,202505,-5.38,-10.81,388571
1108,幸福,202504,0.58,-3.76,410688
1108,幸福,202503,14.63,-9.15,408312
1108,幸福,202502,-20.53,24.38,356169
1108,幸福,202501,-10.99,-1.95,448229
1109,信大,202508,-0.72,1.68,365337
1109,信大,202507,-5.85,-3.67,367999
1109,信大,202506,-4.02,-6.33,390871
1109,信大,202505,-6.15,-21.19,407283
1109,信大,202504,-2.84,-1.78,434011
1109,信大,202503,87.18,10.64,446709
1109,信大,202502,-21.64,5.23,238647
1109,信大,202501,-23.33,-34.72,304555
1110,東泥,202508,23.95,-27.8,236226
1110,東泥,202507,-14.31,-30.49,190570
1110,東泥,202506,-14.94,15.26,222403
1110,東泥,202505,-1.16,27.82,261492
1110,東泥,202504,-3.77,27.75,264572
1110,東泥,202503,20.18,24.31,274954
1110,東泥,202502,-3.38,30.59,228781
1110,東泥,202501,-9.09,31.15,236789
1201,味全,202508,6.71,-10.93,1974741
1201,味全,202507,6.55,-14.09,1850418
1201,味全,202506,-9.69,-10.93,1736584
1201,味全,202505,3.55,-6.97,1923030
1201,味全,202504,4.73,-1.68,1856995
1201,味全,202503,15.94,-0.47,1773075
1201,味全,202502,-20.05,-11.62,1529280
1201,味全,202501,3.39,4.96,1913014
1203,味王,202508,7.15,-5.28,470431
1203,味王,202507,1.51,-7.75,439000
1203,味王,202506,-10.09,-16.01,432438
1203,味王,202505,-3.52,-6.07,481004
1203,味王,202504,-4.39,1.25,498590
1203,味王,202503,10.81,-0.63,521527
1203,味王,202502,-12.88,-0.46,470623
1203,味王,202501,-10.33,-3.68,540262
1210,大成,202508,7.84,-5.21,8556083
1210,大成,202507,-0.58,-6.72,7933720
1210,大成,202506,-3.02,-2.76,7980681
1210,大成,202505,-5.64,-4.44,8229515
1210,大成,202504,-0.55,1.53,8722030
1210,大成,202503,8.44,2.12,8770327
1210,大成,202502,-6.87,11.67,8087375
1210,大成,202501,-5.25,-8.33,8684590
1213,大飲,202508,46.75,31.96,34176
1213,大飲,202507,-2.63,19.04,23287
1213,大飲,202506,19.71,94.64,23916
1213,大飲,202505,-20.58,21.62,19978
1213,大飲,202504,27.73,101.61,25157
1213,大飲,202503,-18.16,148.45,19695
1213,大飲,202502,7.54,65.93,24067
1213,大飲,202501,32.97,104.99,22379
1215,卜蜂,202508,-1.62,-3.49,2333191
1215,卜蜂,202507,6.53,2.1,2371761
1215,卜蜂,202506,-9.06,4.04,2226284
1215,卜蜂,202505,2.59,3.45,2448264
